t,nCreatures,nFood
0,253,123
1,273,56
2,230,23
3,196,10
4,156,11
5,137,9
6,125,9
7,105,6
8,90,10
9,73,14
10,64,17
11,60,13
12,56,17
13,52,23
14,47,23
15,39,27
16,32,29
17,26,38
18,24,44
19,23,46
20,22,47
21,23,49
22,21,59
23,21,60
24,19,69
25,18,74
26,18,76
27,14,81
28,14,88
29,13,98
30,12,103
31,12,102
32,12,102
33,12,117
34,12,124
35,13,127
36,13,134
37,12,145
38,11,145
39,12,150
40,11,157
41,11,163
42,11,169
43,11,172
44,11,176
45,16,179
46,16,189
47,16,188
48,16,195
49,18,204
50,16,209
51,16,210
52,18,205
53,19,202
54,17,210
55,18,206
56,19,208
57,19,207
58,21,207
59,21,210
60,21,209
61,20,204
62,20,204
63,24,198
64,25,206
65,27,203
66,26,203
67,26,197
68,25,189
69,29,190
70,29,182
71,30,183
72,31,183
73,35,186
74,36,180
75,36,173
76,34,170
77,36,159
78,33,155
79,34,156
80,34,149
81,34,147
82,33,149
83,33,140
84,33,140
85,31,136
86,31,134
87,34,130
88,36,125
89,40,126
90,42,116
91,41,102
92,40,100
93,39,103
94,43,98
95,41,98
96,41,102
97,38,93
98,40,91
99,41,83
100,39,82
101,39,77
102,40,78
103,36,76
104,41,71
105,40,68
106,41,56
107,37,54
108,37,60
109,38,58
110,41,56
111,42,53
112,44,45
113,44,44
114,44,37
115,43,35
116,38,37
117,36,39
118,34,37
119,31,36
120,29,42
121,28,48
122,29,44
123,30,40
124,30,40
125,32,39
126,31,39
127,30,41
128,30,43
129,30,44
130,31,53
131,31,58
132,30,67
133,31,67
134,33,64
135,33,66
136,31,70
137,33,71
138,33,77
139,31,80
140,31,79
141,28,79
142,28,80
143,30,87
144,29,89
145,24,88
146,25,87
147,26,89
148,26,84
149,26,85
150,27,89
151,25,86
152,24,82
153,23,80
154,22,82
155,21,84
156,22,87
157,21,88
158,19,93
159,17,95
160,16,99
161,16,104
162,15,114
163,15,113
164,16,114
165,16,120
166,15,122
167,14,124
168,16,124
169,16,129
170,17,131
171,19,134
172,21,133
173,24,135
174,23,138
175,22,144
176,21,147
177,21,145
178,24,148
179,23,147
180,22,152
181,23,154
182,23,151
183,23,155
184,21,155
185,21,162
186,20,169
187,22,166
188,23,167
189,23,164
190,20,162
191,22,169
192,28,169
193,28,171
194,30,161
195,31,158
196,32,152
197,32,144
198,32,136
199,29,135
200,31,134
201,31,128
202,30,126
203,32,123
204,36,125
205,35,120
206,28,119
207,27,114
208,26,116
209,26,127
210,25,130
211,24,131
212,26,134
213,27,136
214,27,137
215,25,138
216,23,139
217,25,139
218,23,142
219,25,138
220,26,137
221,23,137
222,23,136
223,25,135
224,23,134
225,22,131
226,23,136
227,22,131
228,22,129
229,28,133
230,26,136
231,25,133
232,29,134
233,31,132
234,29,136
235,29,132
236,31,127
237,29,130
238,33,129
239,35,140
240,34,133
241,32,131
242,30,132
243,32,125
244,31,125
245,35,123
246,34,115
247,33,109
248,35,104
249,36,102
250,34,102
251,38,103
252,39,98
253,42,101
254,44,99
255,42,93
256,38,97
257,40,93
258,40,79
259,44,69
260,44,69
261,41,74
262,41,76
263,38,74
264,40,70
265,37,69
266,36,71
267,32,72
268,30,73
269,33,79
270,33,76
271,29,78
272,28,80
273,27,81
274,30,85
275,27,84
276,27,86
277,21,91
278,21,95
279,18,96
280,18,103
281,15,107
282,17,109
283,17,116
284,19,118
285,20,118
286,23,124
287,22,127
288,22,130
289,21,128
290,20,130
291,22,129
292,25,132
293,26,133
294,27,134
295,25,134
296,22,135
297,25,138
298,26,141
299,26,136
300,26,140
301,27,138
302,29,141
303,29,134
304,25,132
305,23,130
306,26,130
307,26,133
308,29,124
309,27,128
310,26,130
311,29,130
312,29,128
313,31,130
314,27,129
315,29,126
316,29,127
317,31,132
318,30,128
319,30,128
320,31,123
321,30,119
322,31,118
323,34,119
324,36,113
325,35,112
326,33,109
327,34,104
328,35,107
329,34,110
330,34,107
331,32,101
332,28,103
333,28,101
334,28,104
335,28,99
336,27,104
337,26,104
338,28,106
339,31,104
340,37,97
341,37,90
342,38,89
343,39,95
344,38,87
345,37,82
346,37,80
347,35,79
348,33,81
349,32,82
350,30,80
351,29,79
352,31,78
353,32,78
354,34,74
355,35,70
356,32,70
357,31,69
358,32,72
359,28,78
360,28,80
361,27,82
362,29,92
363,30,86
364,29,85
365,29,84
366,29,81
367,28,81
368,28,81
369,32,79
370,32,80
371,31,82
372,31,86
373,30,88
374,30,83
375,32,82
376,31,74
377,34,69
378,33,75
379,29,75
380,27,75
381,26,70
382,27,69
383,26,77
384,25,81
385,26,83
386,26,84
387,25,91
388,25,89
389,24,89
390,26,93
391,26,94
392,28,96
393,28,88
394,32,94
395,30,93
396,28,90
397,27,87
398,26,85
399,26,90
400,25,97
401,26,89
402,26,89
403,25,87
404,25,81
405,27,81
406,25,79
407,26,83
408,27,81
409,31,82
410,32,81
411,31,78
412,35,79
413,34,82
414,31,87
415,33,87
416,29,91
417,30,96
418,29,89
419,28,91
420,26,95
421,24,90
422,21,94
423,21,98
424,20,98
425,20,104
426,20,107
427,22,109
428,24,110
429,23,112
430,22,111
431,23,123
432,21,126
433,20,129
434,20,135
435,20,135
436,20,142
437,18,137
438,20,137
439,23,131
440,22,135
441,23,134
442,22,129
443,20,130
444,21,130
445,21,137
446,27,137
447,29,137
448,31,138
449,30,134
450,26,137
451,27,135
452,31,136
453,34,132
454,32,134
455,33,137
456,34,135
457,33,128
458,35,127
459,34,121
460,34,131
461,36,131
462,40,131
463,39,131
464,37,124
465,37,118
466,37,110
467,38,109
468,32,104
469,35,100
470,34,96
471,37,94
472,37,94
473,37,94
474,34,96
475,32,100
476,29,104
477,27,109
478,27,108
479,29,109
480,31,99
481,32,98
482,32,100
483,33,99
484,31,101
485,33,95
486,35,99
487,37,96
488,39,88
489,42,86
490,40,87
491,41,85
492,43,81
493,40,81
494,40,74
495,37,73
496,36,69
497,36,73
498,32,78
499,34,77
500,36,78
501,40,76
502,42,75
503,38,78
504,37,84
505,35,84
506,32,94
507,30,102
508,31,106
509,31,107
510,30,114
511,29,112
512,25,119
513,25,126
514,24,129
515,25,136
516,24,136
517,22,133
518,26,138
519,25,138
520,25,140
521,26,135
522,28,134
523,31,134
524,34,131
525,36,135
526,36,133
527,36,128
528,35,119
529,35,117
530,34,117
531,36,111
532,38,115
533,38,111
534,40,105
535,36,108
536,37,106
537,35,102
538,37,98
539,39,94
540,41,98
541,41,98
542,39,93
543,39,88
544,39,79
545,40,79
546,39,71
547,45,64
548,44,67
549,42,61
550,47,57
551,47,57
552,45,59
553,42,57
554,39,65
555,37,63
556,37,72
557,37,70
558,36,75
559,33,74
560,34,73
561,31,75
562,35,77
563,36,71
564,37,78
565,34,74
566,33,65
567,33,71
568,34,69
569,36,77
570,35,80
571,38,78
572,37,77
573,36,80
574,38,77
575,42,74
576,42,78
577,40,80
578,39,80
579,43,82
580,44,78
581,43,79
582,44,73
583,43,70
584,43,77
585,45,72
586,42,72
587,41,71
588,39,68
589,38,71
590,35,69
591,35,68
592,32,71
593,32,76
594,32,79
595,31,75
596,34,81
597,32,85
598,35,81
599,38,83
600,39,90
601,35,102
602,31,105
603,27,106
604,23,112
605,22,113
606,22,118
607,24,122
608,24,127
609,23,132
610,20,134
611,19,139
612,21,141
613,20,143
614,22,150
615,18,154
616,17,160
617,19,168
618,21,173
619,18,182
620,16,183
621,16,189
622,17,190
623,17,189
624,16,199
625,15,205
626,19,209
627,18,209
628,15,203
629,14,201
630,16,204
631,20,207
632,20,217
633,22,217
634,22,221
635,22,224
636,18,229
637,20,227
638,22,229
639,25,228
640,27,228
641,27,233
642,24,235
643,26,235
644,30,229
645,30,225
646,33,224
647,34,220
648,37,217
649,39,205
650,41,200
651,41,199
652,49,192
653,57,188
654,56,174
655,61,166
656,57,162
657,55,158
658,53,160
659,54,150
660,57,141
661,61,128
662,62,120
663,63,110
664,66,108
665,67,97
666,68,96
667,67,93
668,64,76
669,66,71
670,65,70
671,68,67
672,67,65
673,64,66
674,65,65
675,61,66
676,58,67
677,56,64
678,57,66
679,58,64
680,58,56
681,57,64
682,56,71
683,55,62
684,56,62
685,53,51
686,56,46
687,53,47
