t,nCreatures,nFood
0,305,102
1,309,37
2,282,6
3,263,4
4,239,3
5,209,4
6,194,2
7,161,1
8,144,2
9,127,4
10,114,6
11,95,2
12,85,6
13,72,6
14,66,10
15,60,14
16,56,11
17,51,9
18,45,10
19,39,9
20,37,11
21,37,13
22,35,16
23,38,15
24,36,18
25,36,19
26,36,20
27,36,17
28,36,19
29,37,16
30,37,19
31,35,17
32,34,21
33,35,25
34,32,27
35,32,25
36,32,24
37,31,24
38,31,27
39,28,28
40,28,32
41,28,35
42,28,34
43,27,34
44,26,35
45,25,41
46,25,41
47,26,46
48,27,45
49,27,43
50,27,47
51,28,46
52,28,48
53,28,48
54,29,46
55,29,50
56,28,50
57,29,46
58,29,51
59,32,49
60,35,50
61,36,50
62,35,50
63,37,46
64,34,52
65,36,46
66,37,44
67,38,45
68,38,40
69,40,40
70,41,40
71,41,42
72,41,36
73,44,34
74,46,31
75,48,28
76,47,30
77,46,33
78,45,28
79,43,25
80,42,28
81,41,27
82,39,27
83,35,30
84,34,30
85,32,29
86,31,28
87,31,34
88,33,35
89,35,36
90,38,37
91,36,37
92,36,39
93,35,37
94,37,41
95,41,43
96,41,42
97,41,37
98,43,40
99,43,44
100,45,40
101,44,38
102,46,33
103,45,33
104,44,33
105,43,38
106,42,42
107,41,38
108,40,38
109,40,34
110,38,40
111,37,40
112,37,37
113,36,36
114,35,31
115,35,31
116,36,28
117,35,30
118,35,35
119,36,37
120,36,42
121,36,41
122,38,41
123,39,39
124,40,37
125,42,35
126,42,31
127,41,35
128,44,35
129,43,34
130,44,32
131,44,25
132,43,24
133,41,25
134,40,24
135,41,26
136,44,24
137,43,28
138,43,27
139,41,29
140,42,29
141,43,30
142,43,27
143,42,26
144,42,31
145,45,26
146,47,26
147,46,34
148,43,33
149,42,31
150,42,28
151,44,25
152,42,27
153,43,31
154,42,34
155,44,31
156,43,34
157,42,32
158,42,36
159,39,35
160,42,31
161,41,30
162,41,33
163,42,29
164,40,28
165,42,26
166,42,29
167,42,26
168,41,28
169,40,24
170,40,25
171,40,23
172,41,21
173,41,21
174,43,24
175,41,27
176,42,31
177,43,32
178,44,29
179,45,29
180,47,30
181,46,25
182,46,29
183,50,32
184,50,26
185,54,26
186,54,28
187,54,33
188,50,30
189,54,31
190,51,26
191,50,27
192,49,24
193,48,31
194,53,31
195,53,34
196,52,31
197,50,33
198,53,30
199,52,27
200,52,28
201,50,27
202,51,25
203,48,26
204,47,27
205,48,25
206,45,30
207,42,38
208,37,38
209,37,38
210,36,41
211,34,41
212,35,43
213,35,42
214,34,36
215,33,43
216,35,40
217,34,36
218,34,44
219,36,43
220,40,44
221,42,44
222,42,47
223,44,46
224,46,42
225,46,41
226,46,40
227,49,40
228,49,47
229,49,49
230,47,52
231,50,47
232,52,42
233,54,40
234,56,37
235,61,35
236,62,31
237,57,26
238,59,25
239,59,22
240,58,23
241,57,25
242,56,23
243,56,26
244,52,29
245,53,24
246,55,26
247,57,24
248,56,29
249,59,31
250,58,32
251,56,30
