t,nCreatures,nFood
0,80,228
1,85,223
2,86,215
3,88,199
4,74,193
5,62,190
6,63,186
7,72,189
8,76,188
9,79,209
10,79,201
11,80,206
12,82,207
13,82,207
14,78,216
15,75,220
16,79,229
17,81,223
18,85,217
19,84,217
20,83,216
21,87,217
22,92,211
23,92,212
24,90,198
25,93,190
26,97,184
27,108,178
28,113,174
29,111,165
30,105,152
31,103,138
32,104,139
33,109,129
34,107,122
35,116,119
36,116,131
37,114,118
38,125,115
39,128,112
40,127,100
41,144,95
42,151,91
43,139,91
44,141,96
45,129,98
46,128,89
47,129,79
48,129,67
49,134,68
50,143,66
51,134,74
52,129,74
53,132,64
54,133,68
55,130,69
56,125,77
57,128,79
58,117,85
59,117,89
60,114,90
61,119,92
62,124,93
63,126,90
64,129,93
65,122,96
66,125,94
67,132,77
68,127,71
69,128,74
70,122,73
71,120,84
72,112,82
73,111,82
74,113,82
75,113,89
76,111,96
77,128,87
78,124,87
79,123,83
80,119,80
81,118,82
82,117,86
83,116,97
84,128,91
85,135,87
86,118,88
87,114,90
88,121,101
89,119,101
90,122,115
91,123,114
92,129,108
93,133,105
94,135,119
95,140,111
96,142,111
97,152,99
98,150,106
99,157,102
100,157,88
101,165,84
102,157,78
103,157,79
104,153,94
105,153,90
106,154,84
107,152,89
108,160,88
109,166,82
110,170,84
111,172,82
112,165,83
113,160,80
114,161,79
115,163,73
116,171,66
117,174,62
118,167,60
119,164,60
120,161,63
121,167,65
122,163,66
123,159,59
124,150,62
125,150,68
126,138,75
127,138,82
128,136,84
129,138,87
130,136,97
131,144,89
132,146,94
133,142,84
134,157,76
135,159,80
136,170,82
137,173,73
138,178,70
139,188,61
140,181,53
141,175,54
142,173,59
143,155,66
144,149,72
145,155,64
146,154,70
147,148,73
148,149,76
149,142,85
150,143,84
151,147,84
152,155,87
153,166,81
154,163,89
155,163,87
156,163,81
157,178,81
158,176,83
159,175,79
160,164,78
161,171,72
162,177,76
163,176,81
164,173,66
165,177,60
166,187,65
167,189,82
168,182,75
169,178,78
170,176,84
171,173,92
172,172,96
173,170,103
174,161,86
175,162,86
176,159,80
177,161,80
178,175,84
179,173,83
180,165,88
181,162,82
182,160,82
183,155,76
184,156,80
185,154,86
186,174,97
187,158,88
188,153,84
189,169,86
190,165,87
191,170,90
192,182,97
193,177,99
194,178,89
195,192,91
196,197,92
197,189,82
198,186,81
199,194,77
200,189,75
201,191,75
202,187,80
203,184,81
204,175,83
205,172,80
206,177,73
207,186,82
208,195,85
209,188,84
210,187,84
211,181,90
212,191,85
213,186,97
214,207,86
215,216,72
216,208,61
217,195,71
218,202,81
219,201,82
220,201,81
221,206,73
222,197,72
223,195,74
224,178,80
225,184,76
226,185,71
227,179,65
228,174,81
229,178,80
230,184,90
231,184,77
232,203,64
233,210,71
234,210,62
235,209,60
236,226,63
237,219,62
238,218,61
239,204,71
240,195,68
241,178,71
242,183,79
243,172,80
244,182,87
245,186,79
246,184,68
247,180,65
248,185,68
249,183,61
250,176,69
251,173,73
252,170,76
253,159,77
254,157,84
255,155,87
256,176,88
257,182,95
258,191,90
259,179,88
260,171,82
261,172,90
262,173,92
263,187,93
264,190,90
265,179,89
266,182,89
267,186,92
268,187,93
269,194,79
270,197,72
271,193,75
272,186,82
273,181,84
274,188,82
275,190,86
276,199,63
277,190,66
278,193,65
279,188,68
280,179,71
281,179,75
282,174,81
283,172,87
284,173,81
285,171,85
286,175,82
287,183,75
288,194,62
289,187,57
290,184,57
291,186,56
292,180,54
293,178,64
294,172,67
295,169,65
296,166,60
297,166,60
298,167,66
299,153,75
300,152,76
301,157,70
302,155,76
303,156,78
304,157,87
305,150,95
306,152,92
307,148,103
308,151,95
309,147,95
310,148,100
311,145,97
312,165,78
313,162,85
314,160,76
315,162,86
316,164,86
317,157,88
318,168,91
319,170,77
320,184,80
321,183,78
322,187,76
323,186,69
324,188,75
325,194,75
326,191,59
327,202,58
328,205,62
329,210,62
330,197,54
331,194,55
332,196,63
333,198,64
334,199,60
335,192,60
336,190,64
337,185,66
338,191,62
339,194,59
340,196,54
341,198,54
342,190,60
343,183,56
344,187,66
345,182,69
346,187,61
347,189,67
348,205,65
349,200,58
350,206,66
351,197,54
352,195,62
353,192,65
354,184,72
355,189,71
356,180,86
357,177,75
358,176,80
359,173,78
360,181,74
361,192,65
362,191,65
363,175,72
364,177,71
365,173,59
366,172,72
367,175,88
368,168,79
369,162,82
370,172,67
371,180,60
372,180,71
373,177,71
374,184,66
375,192,67
376,187,67
377,194,57
378,199,50
379,212,57
380,197,62
381,197,67
382,205,56
383,209,54
384,202,55
385,201,51
386,196,55
387,199,56
388,208,56
389,205,50
390,208,54
391,207,59
392,211,60
393,205,56
394,192,62
395,191,69
396,191,61
397,188,64
398,188,56
399,183,55
400,181,58
401,187,49
